"year","window","abundance","immature_abundance"
2011,"76-99 mm",205100739.640929,104861126.487316
2012,"76-99 mm",206670009.203476,99441974.9733278
2013,"76-99 mm",223773427.476577,124848627.373577
2014,"76-99 mm",261260175.241267,119127558.441226
2015,"76-99 mm",136176518.939372,71446592.261076
2016,"76-99 mm",113918204.688542,49935371.0599815
2017,"76-99 mm",136850407.33721,69263889.4495876
2018,"76-99 mm",452459375.43194,177879948.291391
2019,"76-99 mm",639635978.602541,246717656.327905
2021,"76-99 mm",177921558.817461,84248393.524602
2022,"76-99 mm",69994372.4958524,33554341.2470942
2023,"76-99 mm",30023865.4589418,15109267.8304853
2024,"76-99 mm",117216018.981081,69767173.9116142
2025,"76-99 mm",252616505.620848,114876910.564734
2026,"76-99 mm",302978052.086246,145266473.604661
